iter	RMSE
0	7.748753222
1	7.591634304
2	7.416910504
3	7.265549732
4	7.108799399
5	6.951062791
6	6.802080684
7	6.64678537
8	6.515189746
9	6.371290108
10	6.221617924
11	6.077993166
12	5.946925838
13	5.828820094
14	5.717666819
15	5.600489797
16	5.494997271
17	5.396450799
18	5.298924344
19	5.189917952
20	5.087535514
21	4.988321907
22	4.898408733
23	4.807809046
24	4.719399509
25	4.633463605
26	4.552775483
27	4.468258824
28	4.389655883
29	4.315340629
30	4.238571143
31	4.173551225
32	4.114907765
33	4.056741328
34	3.993524366
35	3.926077256
36	3.865279607
37	3.808005955
38	3.747884393
39	3.696235483
40	3.645301872
41	3.59769224
42	3.548501978
43	3.513256357
44	3.470917328
45	3.429219588
46	3.390916163
47	3.367847216
48	3.335789438
49	3.297781698
50	3.258625659
51	3.223766111
52	3.192704371
53	3.160577652
54	3.131916116
55	3.106360431
56	3.080570116
57	3.052105462
58	3.025856611
59	2.996583105
60	2.966732704
61	2.94327855
62	2.919353131
63	2.892233154
64	2.86969769
65	2.849123004
66	2.82985639
67	2.809623591
68	2.788140713
69	2.766983697
70	2.749644599
71	2.73290664
72	2.717151835
73	2.699244006
74	2.683039217
75	2.67352699
76	2.656069127
77	2.638406719
78	2.625606252
79	2.613507385
80	2.597927756
81	2.589244618
82	2.576402953
83	2.562891895
84	2.550143156
85	2.539888466
86	2.528415384
87	2.517698454
88	2.502088926
89	2.487715401
90	2.476909441
91	2.466210589
92	2.455101767
93	2.44216291
94	2.432585883
95	2.424394179
96	2.415650647
97	2.408075023
98	2.399923578
99	2.388720475
100	2.380184527
101	2.369823863
102	2.360298602
103	2.350420137
104	2.339633767
105	2.333274153
106	2.325651314
107	2.315645696
108	2.310404733
109	2.303906843
110	2.298564851
111	2.293662308
112	2.286319645
113	2.280581164
114	2.274493461
115	2.268952861
116	2.262944147
117	2.253067076
118	2.248507835
119	2.241931362
120	2.23654794
121	2.232126345
122	2.222939574
123	2.219498077
124	2.209824508
125	2.205291303
126	2.200062027
127	2.189397386
128	2.18283769
129	2.179672824
130	2.174994353
131	2.169421717
132	2.163839182
133	2.157294276
134	2.153231552
135	2.14982488
136	2.143436841
137	2.138606012
138	2.133433844
139	2.130175866
140	2.124209342
141	2.119402082
142	2.116238255
143	2.109764607
144	2.101572736
145	2.09692236
146	2.092411833
147	2.087360248
148	2.084376292
149	2.078702949
150	2.075973665
151	2.071022532
152	2.065142647
153	2.062517603
154	2.058923268
155	2.051749375
156	2.046446635
157	2.041460672
158	2.035918301
159	2.029763525
160	2.023510941
161	2.020853684
162	2.015693994
163	2.011704977
164	2.007620812
165	2.000466065
166	1.993635778
167	1.990004163
168	1.987716139
169	1.984275538
170	1.979949393
171	1.977372641
172	1.97443454
173	1.969667873
174	1.96443036
175	1.961084229
176	1.957319066
177	1.954683815
178	1.950331818
179	1.947381384
180	1.94525684
181	1.940985466
182	1.935889321
183	1.930185452
184	1.926014427
185	1.920565914
186	1.916952725
187	1.913186133
188	1.911070468
189	1.908768269
190	1.902231147
191	1.899716597
192	1.896505863
193	1.892290303
194	1.888406317
195	1.884592428
196	1.880970938
197	1.879432124
198	1.876124134
199	1.873299619
200	1.871294296
201	1.868594536
202	1.865690439
203	1.86179192
204	1.858058348
205	1.852952103
206	1.850515
207	1.849064087
208	1.845487163
209	1.841185895
210	1.837719368
211	1.834713722
212	1.830230458
213	1.825787938
214	1.821725185
215	1.818167649
216	1.815137015
217	1.811928459
218	1.808637032
219	1.806050115
220	1.803553078
221	1.799851661
222	1.79740728
223	1.794903236
224	1.791138243
225	1.789029271
226	1.783653268
227	1.781227582
228	1.779169223
229	1.777414673
230	1.773731687
231	1.770382071
232	1.767173067
233	1.764451466
234	1.762067947
235	1.757554194
236	1.754327303
237	1.752411851
238	1.74876398
239	1.745133852
240	1.742677554
241	1.740194527
242	1.738603494
243	1.735739612
244	1.731563462
245	1.730308994
246	1.727803535
247	1.725467054
248	1.722733914
249	1.718981316
250	1.71667884
251	1.715681601
252	1.713018128
253	1.707823478
254	1.705298639
255	1.704225473
256	1.69908722
257	1.695060637
258	1.692238551
259	1.688185973
260	1.686832393
261	1.685902449
262	1.684504394
263	1.68015545
264	1.677883402
265	1.67484343
266	1.671415988
267	1.665344412
268	1.661999737
269	1.659400281
270	1.656925835
271	1.654504985
272	1.651415
273	1.64931154
274	1.645850348
275	1.643527179
276	1.641150422
277	1.640014677
278	1.635417134
279	1.632274528
280	1.62952519
281	1.625873165
282	1.62506333
283	1.623040962
284	1.620717199
285	1.618621225
286	1.615295282
